cappun,relig,age_category,polviews
,christianity,3.0,"moderate, middle of the road"
favor,none/other,1.0,slightly liberal
favor,catholic,3.0,slightly conservative
,protestant,1.0,liberal
oppose,catholic,1.0,slightly conservative
,none/other,2.0,"moderate, middle of the road"
,catholic,3.0,conservative
favor,catholic,4.0,slightly liberal
favor,catholic,3.0,slightly conservative
,catholic,4.0,liberal
,none/other,2.0,"moderate, middle of the road"
oppose,protestant,3.0,slightly conservative
,none/other,4.0,
favor,catholic,5.0,conservative
,christianity,5.0,slightly liberal
,christianity,2.0,slightly liberal
oppose,none/other,2.0,slightly liberal
,protestant,1.0,liberal
,catholic,4.0,slightly conservative
,none/other,1.0,"moderate, middle of the road"
oppose,none/other,1.0,"moderate, middle of the road"
favor,catholic,4.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
,catholic,3.0,slightly liberal
,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,liberal
oppose,none/other,1.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
oppose,catholic,5.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
oppose,none/other,1.0,slightly liberal
favor,none/other,1.0,slightly conservative
favor,catholic,1.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
favor,none/other,5.0,conservative
favor,protestant,2.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly liberal
favor,catholic,5.0,liberal
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
oppose,protestant,4.0,slightly conservative
favor,catholic,5.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
,none/other,2.0,slightly conservative
favor,protestant,2.0,slightly conservative
oppose,protestant,4.0,"moderate, middle of the road"
,protestant,4.0,liberal
,catholic,3.0,conservative
,catholic,3.0,conservative
favor,catholic,5.0,"moderate, middle of the road"
,protestant,3.0,"moderate, middle of the road"
,catholic,5.0,slightly liberal
,catholic,3.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly conservative
oppose,catholic,5.0,slightly liberal
oppose,none/other,1.0,extremely liberal
,none/other,5.0,liberal
favor,protestant,5.0,conservative
favor,none/other,1.0,slightly conservative
,protestant,4.0,slightly liberal
favor,catholic,2.0,"moderate, middle of the road"
favor,none/other,2.0,conservative
favor,catholic,2.0,conservative
,none/other,3.0,slightly conservative
,protestant,5.0,"moderate, middle of the road"
,christianity,1.0,slightly conservative
favor,none/other,1.0,liberal
oppose,none/other,5.0,liberal
oppose,catholic,5.0,slightly liberal
,protestant,1.0,liberal
favor,protestant,2.0,conservative
favor,protestant,3.0,slightly liberal
oppose,catholic,4.0,slightly liberal
favor,catholic,1.0,"moderate, middle of the road"
oppose,none/other,1.0,liberal
oppose,christianity,2.0,conservative
oppose,none/other,3.0,
oppose,protestant,4.0,conservative
,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
,none/other,1.0,"moderate, middle of the road"
,none/other,1.0,conservative
favor,protestant,3.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
oppose,protestant,3.0,slightly liberal
,protestant,2.0,conservative
,catholic,2.0,extremely conservative
favor,catholic,5.0,conservative
,protestant,2.0,slightly conservative
favor,none/other,4.0,slightly conservative
favor,protestant,5.0,extremely conservative
,protestant,3.0,extremely conservative
favor,catholic,3.0,"moderate, middle of the road"
favor,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,liberal
favor,protestant,5.0,slightly conservative
oppose,catholic,1.0,"moderate, middle of the road"
favor,none/other,5.0,slightly conservative
oppose,none/other,3.0,"moderate, middle of the road"
oppose,protestant,2.0,"moderate, middle of the road"
,protestant,5.0,"moderate, middle of the road"
oppose,catholic,1.0,extremely liberal
,catholic,5.0,slightly liberal
oppose,protestant,2.0,conservative
,catholic,3.0,"moderate, middle of the road"
,protestant,2.0,"moderate, middle of the road"
favor,catholic,5.0,slightly conservative
,none/other,1.0,"moderate, middle of the road"
favor,protestant,4.0,extremely conservative
,protestant,2.0,"moderate, middle of the road"
,protestant,5.0,slightly conservative
,protestant,3.0,extremely conservative
oppose,none/other,5.0,"moderate, middle of the road"
,protestant,4.0,extremely conservative
oppose,protestant,1.0,extremely liberal
oppose,catholic,5.0,"moderate, middle of the road"
favor,catholic,5.0,liberal
,catholic,5.0,liberal
oppose,protestant,5.0,liberal
favor,catholic,5.0,slightly conservative
,protestant,4.0,"moderate, middle of the road"
favor,none/other,1.0,slightly liberal
favor,protestant,1.0,"moderate, middle of the road"
,protestant,2.0,"moderate, middle of the road"
,protestant,5.0,extremely liberal
oppose,protestant,5.0,"moderate, middle of the road"
favor,catholic,3.0,"moderate, middle of the road"
favor,catholic,5.0,"moderate, middle of the road"
,protestant,5.0,"moderate, middle of the road"
,catholic,4.0,slightly liberal
favor,protestant,5.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
,catholic,3.0,"moderate, middle of the road"
favor,catholic,5.0,liberal
,catholic,5.0,extremely conservative
favor,catholic,5.0,conservative
favor,catholic,5.0,slightly conservative
oppose,catholic,2.0,"moderate, middle of the road"
,catholic,3.0,"moderate, middle of the road"
,protestant,4.0,slightly liberal
,protestant,5.0,slightly conservative
favor,protestant,5.0,"moderate, middle of the road"
,catholic,5.0,liberal
favor,catholic,1.0,"moderate, middle of the road"
favor,none/other,4.0,conservative
,catholic,4.0,slightly conservative
,catholic,1.0,"moderate, middle of the road"
oppose,catholic,5.0,slightly conservative
,catholic,5.0,"moderate, middle of the road"
oppose,catholic,5.0,"moderate, middle of the road"
,catholic,5.0,"moderate, middle of the road"
favor,none/other,2.0,"moderate, middle of the road"
,protestant,2.0,
,protestant,2.0,slightly conservative
oppose,none/other,4.0,liberal
,protestant,1.0,"moderate, middle of the road"
favor,catholic,5.0,conservative
favor,protestant,5.0,extremely liberal
,protestant,5.0,conservative
favor,catholic,1.0,"moderate, middle of the road"
oppose,protestant,4.0,"moderate, middle of the road"
favor,protestant,1.0,"moderate, middle of the road"
oppose,catholic,2.0,"moderate, middle of the road"
favor,protestant,3.0,slightly conservative
favor,catholic,5.0,"moderate, middle of the road"
,none/other,,
,catholic,5.0,
oppose,buddhism,1.0,extremely liberal
favor,protestant,2.0,conservative
,protestant,5.0,liberal
